comment_ID,issue_no,is_author,ld_label,word_divergence,involve_contributor_num,other_commenter,commenter_num,comment_num,reporter_response,self_repsonse,other_response,time_from_start,time_to_close,response_time,ld_num,ld_types,LD1,LD2,LD3,LD4,LD5,LD6
14534954,2347,,LD4,0.40433213,1,1,3,4,2,1,1,1,232,17959,1,1,0,1,0,0,0,0
14543304,2347,,LD2,0.381679389,0,1,2,3,2,0,1,1,232,13112,0,0,0,0,0,0,0,0
14548827,2347,Y,,0.581395349,0,1,2,2,1,1,1,1,232,4714,0,0,0,0,0,0,0,0
14549670,2347,Y,,0.95,0,1,1,1,0,0,1,1,232,3264,0,0,0,0,0,0,0,0
14551718,2347,,N,0,0,0,0,0,0,0,0,1,232,,0,0,0,0,0,0,0,0
14520455,2346,,N,0.702380952,0,0,2,2,1,1,0,1,1,6977,0,0,0,0,0,0,0,0
14526858,2346,Y,,0.837837838,1,1,1,1,0,0,1,1,1,1058,0,0,0,0,0,0,0,0
14527756,2346,,N,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0
14529703,2346,Y,,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0
14492840,2345,,N,0,0,0,0,0,0,0,0,1,234,,0,0,0,0,0,0,0,0
14856900,2345,,LD4,0,0,0,0,0,0,0,0,8,226,,0,0,0,0,0,0,0,0
14933582,2345,,N,0.516290727,2,5,2,5,0,0,5,9,225,8311,3,1,0,0,0,3,0,0
14938422,2345,,LD4,0.566929134,0,3,2,4,0,1,3,9,225,14804,2,1,0,0,0,2,0,0
14943904,2345,,N,0.75,1,1,2,3,0,2,1,9,225,49495,2,1,0,0,0,2,0,0
14977570,2345,,LD4,0.796610169,1,1,2,2,0,1,1,10,224,554,1,1,0,0,0,1,0,0
14978039,2345,,LD4,0.857142857,0,1,1,1,0,0,1,10,224,2426,0,0,0,0,0,0,0,0
14980008,2345,,N,0,0,0,0,0,0,0,0,10,224,,0,0,0,0,0,0,0,0
14429014,2344,,LD1,0,0,0,0,0,0,0,0,1,231,,0,0,0,0,0,0,0,0
14350760,2341,,LD5,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0
14234775,2339,,LD4,0.527173913,0,0,2,2,1,1,0,1,3,15058,1,1,1,0,0,0,0,0
14248293,2339,Y,,0.892857143,0,1,1,1,0,0,1,1,3,53775,1,1,1,0,0,0,0,0
14279196,2339,,LD1,0.875,0,0,1,1,1,0,0,2,2,49197,0,0,0,0,0,0,0,0
14316370,2339,Y,,1,0,1,1,1,0,0,1,3,1,50908,1,1,0,0,0,0,1,0
14327926,2339,,LD5,0,0,0,0,0,0,0,0,3,1,,0,0,0,0,0,0,0,0
14344511,2334,,N,0.436363636,1,1,3,4,1,2,1,7,254,11966,1,1,0,0,1,0,0,0
14344974,2334,,N,0.539589443,1,1,3,3,1,1,1,7,254,9401,1,1,0,0,1,0,0,0
14346784,2334,,LD3,0.596566524,0,1,2,2,1,0,1,7,254,2930,0,0,0,0,0,0,0,0
14347318,2334,,N,0.7,0,0,1,1,1,0,0,7,254,28188,0,0,0,0,0,0,0,0
14356388,2334,Y,,0,0,0,0,0,0,0,0,8,253,,0,0,0,0,0,0,0,0
16873658,2334,Y,,0.597826087,2,3,2,3,0,0,3,58,202,53989,0,0,0,0,0,0,0,0
16914231,2334,,N,0.531690141,0,1,3,3,1,1,1,59,202,696,0,0,0,0,0,0,0,0
16914692,2334,,N,0.591836735,1,1,2,2,1,0,1,59,202,4022,0,0,0,0,0,0,0,0
16917499,2334,,N,0.5859375,0,0,1,1,1,0,0,59,202,32491,0,0,0,0,0,0,0,0
16956982,2334,Y,,0,0,0,0,0,0,0,0,59,201,,0,0,0,0,0,0,0,0
28207536,2334,,N,0,0,0,0,0,0,0,0,260,0,,0,0,0,0,0,0,0,0
13986378,2330,Y,,0.505050505,1,2,3,3,1,1,2,1,242,3898,0,0,0,0,0,0,0,0
13986881,2330,,N,0.492822967,0,1,3,4,1,2,1,1,241,68516,2,1,0,0,0,0,2,0
14002673,2330,,N,0.384848485,3,3,3,6,3,0,3,1,241,4419,2,1,0,0,0,0,2,0
14003298,2330,Y,,0.431111111,3,3,3,5,2,2,3,1,241,11595,2,1,0,0,0,0,2,0
14004956,2330,,LD5,0.418032787,1,1,3,5,2,2,1,2,241,21582,2,2,1,0,0,0,1,0
14005090,2330,,LD5,0.422695035,1,1,3,4,2,1,1,2,241,20659,1,1,1,0,0,0,0,0
14008575,2330,Y,,0.542168675,2,2,3,3,1,1,2,2,240,457,1,1,1,0,0,0,0,0
14008654,2330,,N,0.574257426,1,1,2,2,1,0,1,2,240,391,1,1,1,0,0,0,0,0
14008720,2330,Y,,0.664,1,1,1,1,0,0,1,2,240,63631,1,1,1,0,0,0,0,0
14028990,2330,,LD1,0,0,0,0,0,0,0,0,3,240,,0,0,0,0,0,0,0,0
13931188,2329,,N,0.810810811,1,1,2,2,1,0,1,1,4,802,0,0,0,0,0,0,0,0
13931505,2329,Y,,0.76,1,1,1,1,0,0,1,1,4,63825,0,0,0,0,0,0,0,0
13981982,2329,,N,0,0,0,0,0,0,0,0,1,3,,0,0,0,0,0,0,0,0
14030085,2329,,LD5,0,0,0,0,0,0,0,0,4,1,,0,0,0,0,0,0,0,0
13898092,2328,,LD3,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0
13875646,2327,,LD5,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0
13881100,2327,,LD3,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0
13834286,2324,,N,0.664150943,0,0,2,3,1,2,0,1,1,15455,2,2,0,0,1,0,0,1
13834691,2324,,LD6,0.654867257,0,0,2,2,1,1,0,1,1,15002,1,1,0,0,1,0,0,0
13835507,2324,,LD3,0.725,0,0,1,1,1,0,0,1,1,14047,0,0,0,0,0,0,0,0
13848940,2324,Y,,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0
13853846,2324,,N,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0
13817598,2323,,LD2,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0
13815586,2322,,LD1,0.627192982,1,1,2,2,1,0,1,1,1,2213,1,1,0,0,0,0,0,1
13816293,2322,Y,,0.714285714,1,1,1,1,0,0,1,1,1,1465,1,1,0,0,0,0,0,1
13816848,2322,,LD6,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0
13817619,2321,,LD2,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0
13864514,2321,,LD5,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0
16715066,2319,,N,0,0,0,0,0,0,0,0,60,205,,0,0,0,0,0,0,0,0
16892805,2319,,LD4,0,0,0,0,0,0,0,0,63,202,,0,0,0,0,0,0,0,0
28206653,2319,,N,0,0,0,0,0,0,0,0,265,0,,0,0,0,0,0,0,0,0
13783594,2318,,N,0.437908497,2,2,2,5,3,0,2,1,680,887,0,0,0,0,0,0,0,0
13784488,2318,Y,,0.476047904,2,2,2,4,2,2,2,1,680,184,0,0,0,0,0,0,0,0
13784673,2318,,N,0.513207547,0,0,2,3,2,1,0,1,680,462,0,0,0,0,0,0,0,0
13785092,2318,Y,,0.625,1,1,2,2,1,1,1,1,680,362,0,0,0,0,0,0,0,0
13785453,2318,,N,0.75,0,0,1,1,1,0,0,1,680,3471,0,0,0,0,0,0,0,0
13788729,2318,Y,,0,0,0,0,0,0,0,0,1,680,,0,0,0,0,0,0,0,0
13875194,2318,,N,0,0,0,0,0,0,0,0,2,679,,0,0,0,0,0,0,0,0
42104182,2318,,LD2,0.840909091,1,1,1,1,0,0,1,438,243,248,0,0,0,0,0,0,0,0
42104257,2318,,N,0,0,0,0,0,0,0,0,438,243,,0,0,0,0,0,0,0,0
68444307,2318,,LD5,0,0,0,0,0,0,0,0,680,0,,0,0,0,0,0,0,0,0
215393192,2317,,N,0,0,0,0,0,0,0,0,1164,0,,0,0,0,0,0,0,0,0
13650718,2313,,LD1,0.814814815,2,2,2,2,0,0,2,1,269,12458,0,0,0,0,0,0,0,0
13662846,2313,,N,0.8,1,1,1,1,0,0,1,1,268,2772,0,0,0,0,0,0,0,0
13666123,2313,,N,0,0,0,0,0,0,0,0,1,268,,0,0,0,0,0,0,0,0
28218771,2313,,LD5,0,0,0,0,0,0,0,0,269,0,,0,0,0,0,0,0,0,0
13535062,2307,,LD4,0.698689956,0,0,2,2,1,1,0,1,253,237,0,0,0,0,0,0,0,0
13535133,2307,Y,,0.768115942,1,1,1,1,0,0,1,1,253,674,0,0,0,0,0,0,0,0
13535374,2307,,N,0,0,0,0,0,0,0,0,1,253,,0,0,0,0,0,0,0,0
17197820,2306,,N,1,0,0,1,1,0,1,0,75,1,,0,0,0,0,0,0,0,0
17197850,2306,,N,0,0,0,0,0,0,0,0,75,1,,0,0,0,0,0,0,0,0
17197860,2306,,LD5,0,0,0,0,0,0,0,0,75,0,,0,0,0,0,0,0,0,0
13526098,2305,,LD4,0.661691542,1,1,2,3,2,0,1,1,83,35821,0,0,0,0,0,0,0,0
13540376,2305,Y,,0.785714286,1,1,2,2,1,1,1,1,83,474,0,0,0,0,0,0,0,0
13540695,2305,,N,0.693333333,0,0,1,2,2,0,0,1,83,581,0,0,0,0,0,0,0,0
